Ballots with first choice:,Number of Ballots,"% of votes to Simmons, E. Denise","% of votes to McGovern, Marc C.","% of votes to Kelley, Craig A.","% of votes to Carlone, Dennis J.","% of votes to Toomey, Jr., Timothy J.","% of votes to Maher, David P.","% of votes to Mazen, Nadeem A.","% of votes to Benzan, Dennis A.","% of votes to Cheung, Leland",% of votes to exhaust,percent_sum
"Benzan, Dennis A.",1301.0,0.0,1.23,0.54,0.46,0.0,0.0,0.38,97.16,0.0,0.23,100.0
"Carlone, Dennis J.",1151.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Cheung, Leland",2391.0,3.43,4.27,4.52,1.76,1.42,3.43,2.76,1.38,74.24,2.8,100.0
"House, Janneke Ann",410.0,7.32,9.27,12.93,18.54,2.68,6.1,22.44,6.34,0.0,14.39,100.0
"Kelley, Craig A.",1093.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Lee, James",91.0,15.38,12.09,3.3,5.49,4.4,5.49,18.68,6.59,0.0,28.57,99.99999999999999
"Leslie, Logan Edward",504.0,2.78,6.94,9.13,5.75,8.93,12.9,6.35,4.96,0.0,42.26,99.99999999999999
"Maher, David P.",1464.0,0.27,0.55,0.48,0.41,1.09,96.86,0.07,0.07,0.0,0.2,99.99999999999999
"Mazen, Nadeem A.",985.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"McGovern, Marc C.",1187.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Mello, Gary W.",107.0,0.0,7.48,22.43,24.3,3.74,5.61,11.21,5.61,0.0,19.63,99.99999999999999
"Mirza, Mushtaque A.",284.0,4.93,6.34,2.82,5.99,3.52,3.17,35.21,0.7,0.0,37.32,99.99999999999999
"Moree, Gregg J.",38.0,10.53,5.26,5.26,2.63,18.42,7.89,7.89,7.89,0.0,34.21,99.99999999999999
"Peden, Ronald",49.0,16.33,10.2,12.24,2.04,4.08,0.0,12.24,14.29,0.0,28.57,100.0
"Phillips, Lesley Rebecca",82.0,20.73,4.88,9.76,2.44,7.32,2.44,17.07,7.32,0.0,28.05,99.99999999999999
"Reeves, Kenneth E.",934.0,37.04,6.32,6.32,2.89,9.53,0.0,3.43,15.52,0.0,18.95,99.99999999999999
"Seidel, Sam",701.0,8.56,16.12,17.4,13.98,3.71,10.27,9.27,5.85,0.0,14.84,99.99999999999997
"Simmons, E. Denise",1184.0,87.5,2.62,1.01,0.25,2.79,0.0,1.35,3.21,0.0,1.27,99.99999999999999
"Smith, Jefferson R.",579.0,10.36,13.64,8.29,10.88,7.43,6.91,17.62,7.6,0.0,17.27,99.99999999999999
"Toomey, Jr., Timothy J.",1457.0,0.0,1.17,1.3,0.14,95.47,0.0,0.34,1.17,0.0,0.41,100.00000000000001
"Vasquez, Luis",264.0,10.98,12.12,5.68,4.92,9.47,6.44,12.12,18.56,0.0,19.7,99.99999999999997
"Von Hoffmann, Kristen Lane",420.0,9.29,12.86,16.9,10.48,5.71,5.95,11.9,9.29,0.0,17.62,99.99999999999997
"Williamson, James M.",74.0,13.51,2.7,5.41,31.08,5.41,1.35,13.51,6.76,0.0,20.27,100.0
"Yarden, Elie",102.0,7.84,9.8,7.84,12.75,0.98,4.9,27.45,16.67,0.0,11.76,99.99999999999999
"vanBeuzekom, Minka Y.",875.0,0.0,16.46,22.17,21.94,0.0,0.0,14.86,0.0,0.0,24.57,99.99999999999999
writeIns,16.0,0.0,0.0,6.25,6.25,0.0,0.0,0.0,6.25,0.0,81.25,100.0
